RK,Player,Team,Pos,1B,2B,3B,HR,BB+HBP,SO,GO,AO
1, Brebbia J,STL,P,1,0,0,0,0,0,0,0
2, Helsley R,STL,P,1,0,0,0,0,2,0,0
3, Thomas L,STL,CF,7,0,1,4,6,8,10,8
4, Edman T,STL,SS,64,17,7,11,23,61,78,88
5, Arozarena R,STL,LF,4,1,0,1,3,4,6,4
6, Wong K,STL,2B,96,25,4,11,60,83,134,136
7, Molina Y,STL,C,79,24,0,10,28,58,117,136
8, Martinez J,STL,RF,65,13,2,10,37,82,100,64
9, Munoz Y,STL,2B,36,7,1,2,8,37,53,37
10, O'Neill T,STL,LF,26,6,0,5,10,53,19,32
11, Goldschmidt P,STL,1B,95,25,1,34,80,166,120,159
12, Sosa E,STL,SS,2,0,0,0,2,2,3,1
13, Ozuna M,STL,LF,65,23,1,29,63,114,130,124
14, Fowler D,STL,RF,72,24,1,19,82,142,115,119
15, DeJong P,STL,SS,74,31,1,30,75,149,126,178
16, Knizner A,STL,C,8,2,0,2,5,14,17,10
17, Carpenter M,STL,3B,57,20,2,15,70,129,75,124
18, Wieters M,STL,C,21,4,0,11,13,47,37,50
19, Ravelo R,STL,1B,4,2,0,2,3,12,13,7
20, Bader H,STL,CF,42,14,3,12,56,117,74,88
21, Gyorko J,STL,3B,9,0,0,2,6,14,16,15
22, Flaherty J,STL,P,7,3,0,0,2,17,24,13
23, Wacha M,STL,P,5,1,0,0,0,21,7,5
24, Wainwright A,STL,P,5,3,0,0,2,20,15,14
25, Robinson D,STL,CF,1,0,0,0,0,3,0,3
26, Mikolas M,STL,P,7,1,0,0,0,27,17,10
27, Hudson D,STL,P,4,0,0,0,1,24,25,5
28, Cabrera G,STL,P,0,0,0,0,0,4,0,0
28, Gallegos G,STL,P,0,0,0,0,0,1,1,1
28, Gant J,STL,P,0,0,0,0,0,2,0,1
28, Hudson J,STL,C,0,0,0,0,0,1,0,0
28, Martinez C,STL,P,0,0,0,0,0,1,0,0
28, Mayers M,STL,P,0,0,0,0,0,1,0,0
28, Ponce de Leon D,STL,P,0,0,0,0,1,4,7,0
35, Fernandez J,STL,P,0,0,0,0,0,0,0,0
35, Gregerson L,STL,P,0,0,0,0,0,0,0,0
35, Hicks J,STL,P,0,0,0,0,0,0,0,0
35, Leone D,STL,P,0,0,0,0,0,0,0,0
35, Mejia A,STL,P,0,0,0,0,0,0,0,0
35, Miller A,STL,P,0,0,0,0,0,0,0,0
35, Reyes A,STL,P,0,0,0,0,0,0,0,0
35, Shreve C,STL,P,0,0,0,0,1,0,0,0
35, Webb T,STL,P,0,0,0,0,0,0,0,0
